(138,58.4518)
(139,57.3886)
(140,55.9863)
(141,55.8724)
(142,47.7231)
(143,50.0000)
(144,38.7069)
(145,52.9762)
(146,51.8574)
(147,47.5368)
(148,47.4142)
(149,58.2264)
(150,54.0760)
(151,41.6582)
(152,55.6395)
(153,44.3383)
(154,29.9535)
(155,58.2388)
(156,26.9903)
(157,59.0433)
(158,27.1284)
(159,35.9497)
(160,40.9073)
(161,52.7847)
(162,29.0773)
(163,40.6431)
(164,28.3239)
(165,60.5964)
(166,59.4343)
(167,61.6162)
(168,57.4219)
(169,53.4609)
(170,63.4227)
(171,61.2287)
(172,42.6108)
(173,59.7353)
(174,60.4886)
(175,57.0523)
(176,50.2885)
(177,55.3463)
(178,51.0863)
(179,57.6512)
(180,50.2283)
(181,44.5298)
(182,59.2713)
(183,61.3417)
(184,59.8753)
(185,61.4117)
(186,64.6600)
(187,65.4484)
(188,60.6095)
(189,70.8534)
(190,39.8770)
(191,21.7242)
(192,43.0769)
(193,48.9355)
(194,72.7615)
(195,55.8226)
(196,37.9904)
(197,27.2504)
(198,35.8671)
(199,36.9213)
(200,30.9391)
(201,71.1831)
(202,32.3896)
(203,42.2089)
(204,34.7974)
(205,41.9317)
(206,50.5115)
(207,48.3339)
(208,33.8702)
(209,71.0567)
(210,67.2646)
(211,69.6078)
(212,67.3636)
(213,38.8494)
(214,55.0304)
(215,58.9083)
(216,59.5024)
(217,37.6534)
(218,58.8946)
(219,24.8672)
(220,72.2071)
(221,59.5085)
(222,73.9288)
(223,69.9121)
(224,73.8338)
(225,68.8347)
(226,67.4142)
(227,63.2706)
(228,20.2181)
(229,41.9589)
(230,34.3434)
(231,35.6379)
(232,23.1379)
(233,61.9643)
(234,64.5377)
(235,63.6200)
(236,20.3040)
(237,31.8664)
(238,20.4035)
(239,17.5501)
(240,60.1471)
(241,17.9581)
(242,10.6510)
(243,20.5570)
(244,10.0250)
(245,11.3011)
(246,10.4824)
(247,9.7162)
(248,11.4134)
(249,25.7935)
(250,10.3424)
(251,10.5179)
(252,10.6831)
(253,9.8907)
(254,8.7161)
(255,6.2133)
(256,8.0606)
(257,6.1800)
(258,5.4518)
(259,52.7088)
(260,51.1261)
(261,45.2670)
(262,30.2611)
(263,34.7989)
(264,59.8485)
(265,38.7904)
(266,55.1181)
(267,60.4200)
(268,52.6899)
(269,34.0717)
(270,30.8036)
(271,36.4528)
(272,31.7757)
(273,35.3323)
(274,36.9318)
(275,34.9118)
(276,37.0807)
(277,39.6522)
(278,37.3608)
(279,32.7762)
(280,30.7453)
(281,31.6154)
(282,31.5259)
(283,36.7026)
(284,35.3736)
(285,36.1630)
(286,37.4233)
(287,30.1038)
(288,31.6817)
(289,33.1148)
(290,33.1029)
(291,39.7727)
(292,38.4444)
(293,41.1120)
(294,50.3214)
(295,48.3333)
(296,47.6510)
(297,41.3567)
(298,39.0177)
(299,46.3866)
(300,42.0260)
(301,40.1302)
(302,43.9057)
(303,36.6920)
(304,37.8483)
(305,36.4219)
(306,34.7122)
(307,33.1710)
(308,33.9495)
(309,40.9977)
(310,35.1765)
(311,28.6542)
(312,27.4908)
(313,30.8565)
(314,27.3360)
(315,32.8183)
(316,28.8114)
(317,30.6913)
(318,30.0971)
(319,23.5913)
(320,24.2877)
(321,22.8496)
(322,27.1095)
(323,25.3082)
(324,25.2766)
(325,21.3289)
(326,22.3114)
(327,23.5161)
(328,17.1563)
(329,9.9380)
(330,4.0031)
(331,18.7192)
(332,30.7819)
(333,24.3578)
(334,30.7091)
(335,32.0424)
(336,30.1093)
(337,33.4921)
(338,26.7606)
(339,26.5979)
(340,30.2455)
(341,31.8531)
(342,31.0086)
(343,16.8447)
(344,7.0304)
(345,15.5528)
(346,23.4827)
(347,21.3263)
(348,30.8917)
(349,32.3337)
(350,32.4264)
(351,28.1843)
(352,25.5025)
(353,37.9514)
(354,22.7936)
(355,35.8286)
(356,6.6950)
(357,26.6591)
(358,38.1449)
(359,46.8468)
(360,42.1260)
(361,43.5039)
(362,39.1413)
(363,40.4284)
(364,41.2075)
(365,47.7735)
(366,52.1770)
(367,54.5118)
(368,47.4924)
(369,57.5780)
(370,52.5457)
(371,50.9498)
(372,52.5759)
(373,45.5916)
(374,45.7127)
(375,41.3443)
(376,47.1264)
(377,45.9649)
(378,46.4031)
(379,43.2948)
(380,46.1484)
(381,37.2225)
(382,39.8172)
(383,36.7399)
(384,42.4242)
(385,44.0752)
(386,39.3978)
(387,42.5265)
(388,33.1178)
(389,34.4685)
(390,37.7368)
(391,41.6518)
(392,41.8171)
(393,44.5306)
(394,39.6146)
(395,42.4242)
(396,47.5676)
(397,41.0656)
(398,33.2790)
(399,35.3952)
(400,36.3237)
(401,34.6676)
(402,13.0560)
(403,29.9090)
(404,57.2927)
(405,48.9309)
(406,11.3991)
(407,29.8720)
(408,20.9343)
(409,52.7923)
(410,45.0863)
(411,52.7523)
(412,52.1306)
(413,48.6111)
(414,52.2870)
(415,54.2013)
(416,12.0693)
(417,56.1776)
(418,58.4661)
(419,20.0258)
(420,60.4603)
(421,58.5162)
(422,59.7092)
(423,61.1282)
(424,60.6122)
(425,60.5236)
(426,60.4361)
